synonyms,japanese,english,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,demographic,duration,rating,score,ranked,popularity,members,favorites,french,theme,themes,german,spanish,genre
"Frieren at the Funeral, Frieren The Slayer",葬送のフリーレン,Frieren: Beyond Journey's End,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Nippon Television Network', 'TOHO animation', 'Shogakukan']",Crunchyroll,Madhouse,Manga,"['Adventure', 'Drama', 'Fantasy']",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#169,"999,308","60,525",,,,,,
"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Techno Sound']","['Funimation', 'Aniplex of America']",Bones,Manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",Shounen,24 min. per ep.,R - 17+ (violence & profanity),weighted score,top anime,#3,"3,464,490","230,935",Fullmetal Alchemist Brotherhood,Military,,,,
,ONE PIECE FAN LETTER,,TV Special,1,Finished Airing,"Oct 20, 2024",,,add some,add some,Toei Animation,Light novel,"['Action', 'Adventure', 'Fantasy']",Shounen,24 min.,PG-13 - Teens 13 or older,weighted score,top anime,#2495,"81,893","1,880",,,,,,
,STEINS;GATE,Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",Funimation,White Fox,Visual novel,"['Drama', 'Sci-Fi', 'Suspense']",,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#14,"2,654,140","193,624",,,"['Psychological', 'Time Travel']",,,
,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,"['Action', 'Drama', 'Suspense']",Shounen,23 min. per ep.,R - 17+ (violence & profanity),weighted score,top anime,#21,"2,390,771","60,250",L'Attaque des Titans Saison 3 Partie 2,,"['Gore', 'Military', 'Survival']",Attack on Titan Staffel 3 Teil 2,Ataque a los Titanes Temporada 3 Parte 2,
"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#144,"1,098,802","59,992",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,,
,銀魂 THE FINAL,Gintama: The Very Final,Movie,1,Finished Airing,"Jan 8, 2021",,,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",Eleven Arts,Bandai Namco Pictures,Manga,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,weighted score,top anime,#1540,"161,821","4,422",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",N/A,,
"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#144,"1,098,802","59,992",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,,
HxH (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']",VIZ Media,Madhouse,Manga,"['Action', 'Adventure', 'Fantasy']",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#8,"2,962,224","217,303",Hunter X Hunter,,,Hunter x Hunter,Hunter x Hunter,
"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",銀河英雄伝説,Legend of the Galactic Heroes,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']",Sentai Filmworks,"['K-Factory', 'Kitty Film Mitaka Studio']",Novel,"['Drama', 'Sci-Fi']",,26 min. per ep.,R - 17+ (violence & profanity),weighted score,top anime,#758,"335,666","16,805",Les Héros de la Galaxie,,"['Adult Cast', 'Military', 'Space']",,,
"Gintama' (2012), Gintama' Overdrive, Kintama",銀魂' 延長戦,Gintama: Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",add some,Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#756,"336,563","3,089",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,,
Bleach: Thousand-Year Blood War Arc,BLEACH 千年血戦篇,Bleach: Thousand-Year Blood War,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,Tuesdays at 00:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",VIZ Media,Pierrot,Manga,"['Action', 'Adventure', 'Supernatural']",Shounen,24 min. per ep.,R - 17+ (violence & profanity),weighted score,top anime,#380,"606,867","21,826",,,,,,
"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season",かぐや様は告らせたい-ウルトラロマンティック-,Kaguya-sama: Love is War -Ultra Romantic-,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 00:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,"['Comedy', 'Romance']",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#170,"999,212","32,015",,School,,,,
"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#144,"1,098,802","59,992",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,,
"Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",フルーツバスケット The Final,Fruits Basket: The Final Season,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01:30 (JST),"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",Funimation,TMS Entertainment,Manga,"['Drama', 'Romance', 'Supernatural']",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#463,"510,454","20,639",Fruits Basket Saison 3,,,Fruits Basket Staffel 3,Fruits Basket: The Final Season,
,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,Clannad: After Story,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",Sentai Filmworks,Kyoto Animation,Visual novel,"['Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#120,"1,226,199","71,181",Clannad ~After Story~,,,Clannad ~After Story~,Clannad ~After Story~,
"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",Sunrise,Manga,"['Action', 'Comedy', 'Sci-Fi']",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#144,"1,098,802","59,992",,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,,
The Shape of Voice,聲の形,A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",,,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']","['Eleven Arts', 'NYAV Post', 'GKIDS']",Kyoto Animation,Manga,"['Award Winning', 'Drama']",Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older,weighted score,top anime,#20,"2,432,561","90,772",A Silent Voice,,,A Silent Voice,Una Voz Silenciosa,
Sangatsu no Lion Second Season,3月のライオン 第2シリーズ,March Comes In Like a Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",Aniplex of America,Shaft,Manga,,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,weighted score,top anime,#586,"415,214","15,238",March Comes in like a Lion Saison 2,,"['Childcare', 'Strategy Game']",March Come in Like a Lion Staffel 2,March Comes in like a Lion Temporada 2,Drama
"Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season",コードギアス 反逆のルルーシュ R2,Code Geass: Lelouch of the Rebellion R2,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",Sunrise,Original,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),weighted score,top anime,#47,"1,842,612","77,876",Code Geass: Lelouch of the Rebellion R2,,"['Mecha', 'Military', 'Super Power']",Code Geass: Lelouch of the Rebellion R2,"Code Geass: Lelouch, el de la Rebelión R2",
